date,n_points,dt_hours,profit_EUR,full_cycles
2025-11-01,96,0.25,985.4631007617727,4.47594745498615
2025-11-02,96,0.25,1025.9878994979224,5.196301939058172
2025-11-03,96,0.25,1659.0800239785317,4.390967364958449
2025-11-04,96,0.25,1372.5801278566482,5.146894909972299
2025-11-05,96,0.25,816.3351204120498,4.594194944598338
2025-11-06,96,0.25,1112.339142918975,3.505922783933518
2025-11-07,96,0.25,931.0497853185597,2.6350415512465375
2025-11-08,96,0.25,815.1682476627425,3.74439404432133
2025-11-09,96,0.25,1166.1778984591413,4.1531548649584495
2025-11-10,96,0.25,1181.0071611842106,3.830032894736843
2025-11-11,96,0.25,1032.3434050380888,5.015801592797784
2025-11-12,96,0.25,1124.5376520948753,4.1646831717451525
2025-11-13,96,0.25,710.5321208448754,3.4390586045706373
2025-11-14,96,0.25,676.8482652354571,4.402495671745152
2025-11-15,96,0.25,478.99022143351795,3.5490715893351803
2025-11-16,96,0.25,881.8005331544323,4.140967797783934
2025-11-17,96,0.25,1354.0376695810246,3.5322731994459837
2025-11-18,96,0.25,1097.1209849376733,3.455856994459834
2025-11-19,96,0.25,951.7140344529087,3.298413261772853
2025-11-20,96,0.25,1094.3060128116347,3.018110716759003
2025-11-21,96,0.25,1970.8241329639889,3.5747632444598336
2025-11-22,96,0.25,445.66486080332425,2.993736582409972
2025-11-23,96,0.25,366.5155093490306,2.7539478012465373
2025-11-24,96,0.25,1014.932679449446,3.123512378808864
2025-11-25,96,0.25,951.5693262638504,2.8626432652354574
2025-11-26,96,0.25,1554.62570550554,3.176213209833795
2025-11-27,96,0.25,655.1529681440443,3.3639599203601107
2025-11-28,96,0.25,639.6087476627424,3.151839075484765
2025-11-29,96,0.25,615.3702300034627,3.114619113573407
2025-11-30,96,0.25,417.1626412742383,2.942353272160665
2025-12-01,96,0.25,934.1765503808863,3.9308232340720224
2025-12-02,96,0.25,847.5619711738227,3.5111928670360113
2025-12-03,96,0.25,1022.032960526316,3.1666611842105263
2025-12-04,96,0.25,805.1322962257617,3.4397173649584487
2025-12-05,96,0.25,856.1295041551248,3.5207448926592804
2025-12-06,96,0.25,686.520714248615,4.128121970221607
2025-12-07,96,0.25,607.0304413954293,4.548411097645429
2025-12-08,96,0.25,1023.3840141101109,4.011850761772854
2025-12-09,96,0.25,1616.643922091413,4.659082842797784
2025-12-10,96,0.25,878.5613715373962,3.351114092797784
2025-12-11,96,0.25,657.8601292416897,3.114619113573407
2025-12-12,96,0.25,888.1121551246534,3.273380367036011
2025-12-13,96,0.25,508.635567867036,2.6350415512465375
2025-12-14,96,0.25,530.2053585526315,3.3106003289473684
2025-12-15,96,0.25,1015.5433612361498,3.2315490824099724
2025-12-16,96,0.25,548.6206754674514,2.334976194598338
2025-12-17,96,0.25,441.574146468144,1.9403787222991689
2025-12-18,96,0.25,1639.3844149065098,4.446303237534626
2025-12-19,96,0.25,600.6123677285319,2.9673861668975072
2025-12-20,96,0.25,385.4311885387813,2.743737015235457
2025-12-21,96,0.25,259.0761958968144,2.1755561807479227
2025-12-22,96,0.25,660.0803157894738,2.5220641447368424
2025-12-23,96,0.25,264.53684175900275,1.7661365997229919
2025-12-24,96,0.25,1010.7605926246538,3.3247636772853184
2025-12-25,96,0.25,680.060296398892,2.7417607340720225
2025-12-26,96,0.25,295.0993490304709,2.4242382271468146
2025-12-27,96,0.25,354.30626038781173,2.5559903047091415
2025-12-28,96,0.25,332.0490618940442,2.2984149930747924
2025-12-29,96,0.25,333.34919581024934,2.516794061634349
2025-12-30,96,0.25,401.3807546745152,2.516794061634349
