t,price,p_charge_MW,p_discharge_MW,soc_MWh_start,soc_MWh_end,profit_EUR,soc_percent
0,24.79,0.0,4.75,5.0,-0.0,117.7525,50.0
1,20.62,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,18.45,-0.0,0.0,-0.0,-0.0,0.0,-0.0
3,14.47,-0.0,0.0,-0.0,-0.0,0.0,-0.0
4,12.68,5.0,0.0,-0.0,4.75,-63.4,-0.0
5,11.83,5.0,0.0,4.75,9.5,-59.15,47.5
6,14.01,0.5263157894736842,0.0,9.5,10.0,-7.373684210526315,95.0
7,14.92,-0.0,0.0,10.0,10.0,0.0,100.0
8,16.22,-0.0,0.0,10.0,10.0,0.0,100.0
9,36.11,0.0,5.0,10.0,4.736842105263158,180.55,100.0
10,23.72,0.0,4.500000000000001,4.736842105263158,-0.0,106.74000000000001,47.36842105263158
11,15.0,5.0,0.0,-0.0,4.75,-75.0,-0.0
12,14.85,5.0,0.0,4.75,9.5,-74.25,47.5
13,20.25,0.0,5.0,9.5,4.236842105263158,101.25,95.0
14,15.0,5.0,0.0,4.236842105263158,8.986842105263158,-75.0,42.36842105263158
15,16.39,1.0664819944598343,0.0,8.986842105263158,10.0,-17.479639889196683,89.86842105263158
16,16.9,0.0,0.0,10.0,10.0,0.0,100.0
17,25.29,-0.0,0.0,10.0,10.0,0.0,100.0
18,78.75,0.0,4.500000000000001,10.0,5.263157894736842,354.37500000000006,100.0
19,85.71,0.0,5.0,5.263157894736842,-0.0,428.54999999999995,52.63157894736842
20,45.5,0.5263157894736842,0.0,-0.0,0.5,-23.94736842105263,-0.0
21,29.27,5.0,0.0,0.5,5.25,-146.35,5.0
22,19.48,5.0,0.0,5.25,10.0,-97.4,52.5
23,52.73,0.0,4.75,10.0,5.0,250.46749999999997,100.0
